Visible Actions,Stemmed Visible Actions
brush it,brush it
use kales base for my salad,use kale base for my salad
cooked the peel actually easily today for lunch,cook the peel actually easily today for lunch
thrown on the table,throw on the table
putting boxes,put boxes
clean up,clean up
made over my little bookshelf,make over my little bookshelf
chuck them,chuck them
unpack shoes clothes,unpack shoes clothes
turn on our electric fireplace,turn on our electric fireplace
write on it with a sharpie,write on it with a sharpie
take that upstairs,take that upstairs
screw on the cap,screw on the cap
screw the piping into the floor flange,screw the piping into the floor flange
drill into the wall,drill into the wall
did measure,do measure
stirring,stir
dump in here,dump in here
do it together,do it together
add our final ingredient,add our final ingredient
put on a face mask,put on a face mask
pop it in the fridge,pop it in the fridge
use fresh turmeric root or the powder ginger and then a little bit of sea salt,use fresh turmeric root or the powder ginger and then a little bit of sea salt
add in some water grainy dijon mustard garlic lots of it raw hemp hearts lemon juice fresh cilantro,add in some water grainy dijon mustard garlic lots of it raw hemp hearts lemon juice fresh cilantro
blend it up,blend it up
put it all over my entire body,put it all over my entire body
focus on my arms or the areas of my body,focus on my arms or the areas of my body
used the vitamin c peel pads for my face,use the vitamin c peel pads for my face
use my spray,use my spray
do the deep clean,do the deep clean
see next friday,see next friday
use a little bit of water,use a little bit of water
mix that in,mix that in
adding a little bit of unsweetened almond milk,add a little bit of unsweetened almond milk
add to teaspoons of pure maple syrup,add to teaspoons of pure maple syrup
adding one banana to my blender,add one banana to my blender
call my classic strawberry,call my classic strawberry
use fresh or frozen banana,use fresh or frozen banana
putting my clothes away,put my clothes away
goes into,go into
clean up all of your dirty clothes,clean up all of your dirty clothes
fold all my clothes neatly,fold all my clothes neatly
go right,go right
taking this sea glass it,take this sea glass it
make a bunch of candles for a very little cost,make a bunch of candles for a very little cost
pack them in simple mason jars,pack them in simple mason jars
blend everything up some frozen banana,blend everything up some frozen banana
stock up for my guests people,stock up for my guests people
keep a few of those things in the drawer,keep a few of those things in the drawer
do a light surface cleaning of your kitchen,do a light surface cleaning of your kitchen
did a declutter,do a declutter
see everything,see everything
leave a comment down,leave a comment down
leave a comment down below,leave a comment down below
pick up,pick up
use two teaspoons,use two teaspoons
put three teabags to ounces of water,put three teabags to ounces of water
put ounces of water,put ounces of water
add your hot tea into the cup,add your hot tea into the cup
stir that all,stir that all
add a capful of vanilla extract,add a capful of vanilla extract
add your honey,add your honey
put three chai tea bags the stash version,put three chai tea bags the stash version
brews for about three to four minutes,brews for about three to four minutes
filmed the entire thing,film the entire thing
inspired to clean,inspire to clean
got some cleaning motivation for today monday video,got some cleaning motivation for today monday video
give your house a good spring clean,give your house a good spring clean
cleaning up your house,clean up your house
inspired,inspire
get up,get up
cleaned my apartment from top to bottom,clean my apartment from top to bottom
stir okay,stir okay
licks his hand,lick his hand
put my lunch into my bag,put my lunch into my bag
pour the mixture,pour the mixture
eating my breakfast,eat my breakfast
rechecking all those social medias,recheck all those social medias
comes off the pan,come off the pan
packing my lunch,pack my lunch
turn the burner on to low heat,turn the burner on to low heat
put a cover on it,put a cover on it
cleans our stainless steel,clean our stainless steel
make zucchini,make zucchini
sauteing in oil,saute in oil
started on dinner,start on dinner
pull a bunch of different recipes,pull a bunch of different recipes
heating up a saute pan,heat up a saute pan
make enchiladas,make enchiladas
sauteing vegetables,saute vegetables
saute some kale in a pan,saute some kale in a pan
add that to a bowl,add that to a bowl
chopped up a big handful of kale about one cup,chop up a big handful of kale about one cup
reduce static,reduce static
use these with a laundry booster,use these with a laundry booster
refreshing your carpet,refresh your carpet
thrown into the wash in place of regular laundry detergent,throw into the wash in place of regular laundry detergent
use lemon or orange,use lemon or orange
share a few natural laundry alternatives starting with soap nuts in a muslin bag,share a few natural laundry alternatives start with soap nuts in a muslin bag
decrease the drying time,decrease the dry time
